product_name,quantity,nutrition_score,carbon_footprint,co2_packaging,store_count,country count,ingredients
Chocolat noir 80% Équateur intense et floral,100 g,16,17.110287748,0.10429359,8,3,"ingredients cocoa paste°* from ecuador 70%, cane sugar*, cocoa butter°*, cocoa: 80% minimum in chocolate, °from organic farming (100%) * from fair trade (100% of the total weight with 89% spp)"
Petit écolier tendre coeur au lait,120 g,23,6.738600583,0.11010835,2,1,"Chocolat au lait 38,8 % [sucre, beurre de cacao, pâte de cacao, lait écrémé en poudre, lactose (de lait), beurre pâtissier, émulsifiant (lécithine de tournesol), arôme vanille], farine de blé, sucre, graisses végétales (palme, coprah), lait entier en poudre 5,9 % (équivalent lait entier 47,6%), huile de colza, amidon de blé, lactosérum en poudre (de lait), amidon de maïs, lait écrémé en poudre 0,6 % (équivalent lait écrémé 7,1 %), émulsifiant (lécithine de soja), sel, poudre à lever (carbonate acide de sodium, diphosphate disodique, carbonate acide d'ammonium). Peut contenir oeuf, fruits à coque, sésame."
Haselnuss,100 g,24,12.741300238,0.10429359,1,1,"Sugar, cocoa butter, 12% hazelnuts, skimmed milk powder, cocoa mass, whey powder (milk), concentrated butter (milk), hazelnut paste, emulsifier: lecithin (soy); vanilla extract"
Biscuits chocolat noir,150 g,23,6.738600583,0.11010835,3,9,"dark chocolate 48% (cane sugar, cocoa paste, cocoa butter, whole milk powder, natural vanilla flavour), wheat flour - 36%, red cane sugar 10%, palm fat, upswing powder (ammonium carbonates - sodium carbonates - potassium tartrates), skim milk powder, unrefined sea salt, natural flavour,
organic"
NESTLE DESSERT Lait,170 g,23,12.741300238,0.10429359,3,2,"Sucre, pâte de cacao (Afrique de l'Ouest, Amérique du Sud), beurre de cacao, lait entier en poudre (14,4%), lactose, émulsifiant (lécithines), arôme naturel de vanille de Madagascar."
NESTLE DESSERT Noir 205g,205 g,21,17.110287748,0.10429359,2,1,"sugar, cocoa mass° (west africa, south america), cocoa butter°, emulsifier (sunflower lecithin), natural flavor of madagascar vanilla, °rainforest alliance certified mass balance, www,ra,org/en may contain: milk, nuts, cocoa: 53% minimumו"
MENIER PATISSIER Tablette 200g,200 g,21,17.110287748,0.10429359,4,1,"Pâte de cacao, sucre, lactose, beurre de cacao, émulsifiant (lécithine de tournesol), arôme naturel de vanille. Peut contenir : fruits à coque, lait. SANS GLUTEN Ⓡ NUTRITIONAL COMPASS Reg. Trademark of Société des Produits Nestle S.A. VALE NUTRITIO Ener Matières dont sat Glucia dont suc Fibres Protéin Sel *AR: apport type (8400 contient 10 pour les e 1 portion 1 barre (20 09/01/2023 16:30"
Le biscuit de Natty,150 g,20,6.738600583,0.11010835,2,1,"dark chocolate* 48% (cane sugar*, cocoa paste*, cocoa butter*, whole milk powder*, natural vanilla flavouring), wheat flour*, red cane sugar unrefined*, wholemeal wheat* 8%, sunflower oil oleic* 6,9%, baking powders ( ammonium carbonates, and sodium carbonates, citric acid), unrefined sea salt, natural aroma of vanilla*, antioxidant : rosemary extract*,"
Chocolat noir 74%,100 g,16,17.110287748,0.10429359,2,1,"cocoa paste* 1, cane sugar*, cocoa butter*1, emulsifier: sunflower lecithins*, vanilla extract*, cocoa: 74% minimum,, *ingredient from organic farming 1 cocoa beans from the cocoa transparency program, any traces of nuts, cereals containing gluten and milk,"
Chocolat noir pour préparation pâtissière,205 g,21,17.110287748,0.10429359,1,5,"sugar, cocoa paste (west africa, south america), cocoa butter, emulsifier (sunflower lecithin), natural vanilla flavor (madagascar), cocoa: 52% minimum, may contain: nuts, milk,"
Délichoc Noir,150 g,25,6.738600583,0.11010835,7,3,"chocolate (40%)(sugar, cocoa paste, cocoa butter, lean cocoa powder, lactose, pastry butter, emulsifier: soy lecithin) - ble flour - sugar - vegetable fat (palm, rapeseed) - coconut - salt - lactose and milk proteins - whole milk powder - baking powders: sodium carbonates, ammonium carbonates, disodium diphosphate - emulsifier: soy lecithin - ârome - whole egg powder,"
CHOC NR BOLIVIE BIO,100 g,14,17.110287748,0.10429359,4,1,"pâte de cacao°* de Bolivie 78%, sucre de canne°*, beurre de cacao°*. Cacao: 88% minimum dans le chocolat. °issus de l'agriculture biologique (100%) * issus du commerce équitable (100% du poids total avec 89% SPP). Peut contenir des traces de fruits à coque, lait et gluten."
Milka - Oreo,100 g,N/A,12.741300238,0.10429359,2,3,"sugar, vegetable fats, cocoa butter, whey powder, skim milk powder, wheat flour, cocoa paste, concentrated butter, high-fat milk powder (2%), lean cocoa powder (1%), hazelnut paste, emulsifier (soy lecithin), glucose-fructose syrup, aromas, rose powder (ammonium acid carbonate, carbonate"
Biscuits chocolat au lait,150 g,21,6.738600583,0.11010835,2,8,"milk chocolate* 48% (brown cane sugar*, cocoa butter*, whole milk powder*, cocoa paste*), wheat flour * 21.7%, whole wheat flour * 16.6%, brown cane sugar*, butter * 6.8%, skimmed milk powder*, baking powders: ammonium carbonates and sodium carbonates, sea salt, acidifier: potassium tartrates, antioxidant: rosemary extracts*,
*organic,
 may contain traces of soy, eggs, nuts and sesame seeds,"
Chocolat noir 85%,100 g,15,17.110287748,0.10429359,1,1,"Pâte de cacao fine, pâte de cacao (République Dominicaine), sucre de canne roux 15%, beurre de cacao (Amérique latine)."
Chocolat noir 70%,100 g,17,17.110287748,0.10429359,1,1,"Pâte de Cacao* (Amérique Latine), Sucre de Canne Roux* 30%, Beurre de Cacao*, Poudre de Cacao* (Amérique Latine). Cacao : 70% Minimum"
Chocolat noir fruité,100 g,17,17.110287748,0.10429359,3,2,"cocoa paste (west africa, ecuador), sugar, cocoa butter, cocoa: 70% minimum, may contain: egg, gluten, milk, nuts,"
N/A,100 g,26,17.110287748,0.10429359,4,1,"sugar, cocoa paste, cocoa butter, concentrated dairy butter, emulsifier (soy lecithin), natural flavor (peppermint essential oil), aroma,"
Biscuit fondant choco lait,126 g,14,6.738600583,0.11010835,3,1,"farine de _blé_ 44%, chocolat au maltitol 38% (pâte de cacao, édulcorant : maltitols, beurre de cacao, émulsifiant : lécithines de _soja_, arôme naturel de vanille), édulcorant : maltitols, huile de tournesol oléique, _lait_ écrémé en poudre, _beurre_ pâtissier, amidon de riz, jaune d’_œuf_ en poudre, sel, poudres à lever, (diphosphates, carbonates de sodium, carbonates d'ammonium), arôme naturel de vanille, édulcorant : sucralose."
Toblerone blanc,100 g,26,11.318443968,0.10429359,2,3,"sugar, whole  milk  powder, cocoa butter, honey (3,0%),  almonds  (1,6%), emulsifier (soya  lecithins),  egg  white, flavouring."
Pick Up! Choco 6x28G,168 g,21,5.918971723,0.11013799,10,3,"Farine de BLE, sucre, BEURRE de cacao, pate de cacao, huile de palme, LAIT entier en poudre, sirop de glucose, LAIT ecreme en poudre, BEURRE patissier, poudre de NOISETTES, sel, emulsifiant: lecithines (soja), LACTOSE et proteines de LAIT, poudres a lever: carbonates de sodium, diphosphates, arome (lait), amidon (ble), acidifiant: acide citrique, jaune d'oeufs en poudre."
N/A,200 g,21,17.110287748,0.10429359,2,4,"Pâte de cacao (cacao 52 % minimum), sucre, beurre de cacao, E322(soja), arôme, traces(_fruits à coque_, _lait_, _gluten_)"
Petit beurre tablette chocolat noir bio,150 g,18,5.918971723,0.11013799,1,2,"Chocolat noir 48 % (pâte de cacao, sucre de canne, beurre de cacao), farine de _blé_ 35%, sucre de canne 9%, _beurre_ (dont lait) 9%, poudres à lever : carbonate acide d'ammonium - carbonate acide de sodium, amidon de _blé_, poudre de _lait_ écrémé, sel de Guérande, acidifiant : acide citrique."
72% cacao noir,80 g,18,17.110287748,0.10429359,2,3,"Pâte de cacao*, sucre, beurre de cacao, émulsifiants : lécithines (tournesol), arôme naturel de vanille. Cacao : 72% minimum."
N/A,180 g,27,11.318443968,0.10429359,2,4,"sugar, whole milk powder, cocoa butter, emulsifier (lecithins), natural vanilla aroma, may contain: peanuts, nuts, soy,"
Tablette chocolat au lait,126 g,20,6.738600583,0.11010835,1,1,"Chocolat au lait 39,5% (sucre de canne, beurre de cacao, poudre de lait entier, pâte de cacao), farine de blé 28%, farine complète de blé 18%, sucre de canne roux non raffiné, beurre (lait), huile de tournesol oléique, poudre de lait écrémé, poudres à lever (carbonates d'ammonium, carbonates de sodium, acide citrique), sel, arôme naturel de vanille, antioxydant (extrait de romarin)."
Ferrero Rocher - Blanc - Noisettes,90 g,27,11.318443968,0.10429359,3,3,"sugar, skimmed milk powder, cocoa butter, hazelnuts (13,5 %), palm oil, whole milk powder, sweet whey powder, butterfat, emulsifier lecithins (soya), flavourings."
Choco biscuits,150 g,26,6.738600583,0.11010835,1,3,"Wheat flour, sugar, cocoa butter, palm oil, skimmed milk powdar, whey powder (from milk), cocoa mass, milk fat, raising agents (ammonium carbonates, sodium carbonates, diphosphates), emulsifiers (soya lecithins, E 476), salt, flavouring, acidity regulator (citric acid)."
NESTLE L'ATELIER - Carrés Noir 70% - 210g,210 g,17,17.110287748,0.10429359,3,1,"Pâte de cacao (Afrique de l'Ouest. Equateur), sucre, beurre de cacao, beurre pâtissier, arôme naturel de vanille. Cacao: 70% minimum. Peut contenir: Fruits à coque, lait."
Raffaello - Confetteria - Coconut And Almond,90 g,28,11.318443968,0.10429359,1,2,"Sugar, cocoa butter, skimmed MILK powder, dehydrated coconut flakes 10.5%, palm oil, sweet WHEY powder, ALMONDS 3%, coconut milk powder 2% (contains MILK), anhydrous milk fat, emulsifier (lecithins [SOY]), flavors."
Biscuit tablette chocolat au lait,150 g,25,5.918971723,0.11013799,1,1,"Chocolat au _lait_ 48 % (sucre de canne, beurre de cacao, _lait_ entier en poudre, pâte de cacao), farine de _blé_ 36 %, sucre de canne, graisse de palme, poudres à lever (carbonates d'ammonium et de sodium, tartrates de potassium), _lait_ écrémé en poudre, sel fin non raffiné, arôme naturel."
Petit beurre chocolat au lait tablette,150 g,23,5.918971723,0.11013799,2,1,"Chocolat au LAIT* 48% (sucre*, beurre de cacao*, LAIT entier en poudre*, pâte de cacao*), farine de BLE* (France) 36%, sucre*, BEURRE* 8,8%, LAIT ÉCRÉMÉ en poudre*, poudres à lever : carbonates d'ammonium et de potassium, sel, poudre de jus de citron*. Traces éventuelles de fruits à coque, d'oeuf, de soja et de graines de sésame. * ingrédient issu de l'agriculture biologique."
Chocolat noir 100% cacao sans sucre,90 g,12,17.110287748,0.10429359,1,1,Pâte de Cacao* 100% (République Dominicaine). Cacao 100%
NESTLE DESSERT Noir 2X205g,410 g,21,17.110287748,0.10429359,2,2,"sugar, cocoa mass (west africa, south america), cocoa butter, emulsifier (sunflower lecithin), natural flavour vanilla (madagascar),"
Milka - Daim,100 g,27,12.741300238,0.10429359,1,1,"sugar, cocoa butter, skim milk powder, cocoa paste, whey powder (milk), palm fat, concentrated butter, almonds (1.0%), hazelnut paste, sweetened concentrated skim milk, emulsifier (soy lecithin), salt, whey preparation (milk), aromas,"
Chocolat,100 g,25,N/A,N/A,1,1,"Pâte de cacao, sucre, beurre de cacao, sel rose de l'Himalaya (0,5%), vanille. Peut contenir du lait, du soja, des fruits à coque et des graines de sésame."
Petit Beurre Tablette Chocolat au lait,150 g e,24,5.918971723,0.11013799,1,2,"wheat flour , sugar, cocoa butter, cocoa paste, skimmed milk powder, 7 % butter ( milk ), glucose syrup, lactose , concentrated butter ( milk ), baking powders: carbonates, ammonium diphosphates, carbonates of sodium , emulsifier: lecithins ( soya ) , salt,"
Noir dégustation  pur beurre de cacao 74% de cacao BIO,100 g,17,17.110287748,0.10429359,1,2,"cocoa paste, sugar, emulsifier: sunflower lecithin, vanilla extract, cocoa: 70% minimum, organically grown ingredients"
Mini BN bio - choco tablette,120 g,23,5.918971723,0.11013799,1,2,"Chocolat au lait (sucre de canne*, beurre de cacao*, poudre de lait entier*, pâte de cacao*) (44%) - farine de blé* (38%) - sucre de canne roux* - beurre* - huile de tournesol* - poudre de lait écrémé* - poudres à lever : carbonates d'ammonium, carbonates de sodium, acide tartrique - sel de mer.
*bio"
Noir dessert,200 g,21,17.110287748,0.10429359,2,1,"Sucre de canne, pâte de cacao [Pérou], beurre de cacao, extrait naturel de vanille."
L'envoûtant chocolat noir 70%,100 g,18,17.110287748,0.10429359,1,1,"cocoa paste, sugar, cocoa butter, natural bourbon vanilla powder, cocoa: 70% minimum"
Excellence 45%,80 g,25,12.741300238,0.10429359,3,6,"pâte de cacao, sucre, beurre de cacao, poudre de crème, poudre de lait, émulsifiant (lécithine de soja),Cacao  45% minimum,"
Biscuits tablette chocolat au lait Bio,150 g (12 x 12.5 g),22,6.738600583,0.11010835,1,1,"48% chocolat au - lait_¹ (Origine : France, Belgique) (sucre de canne¹, beurre de cacao¹2, _lait_ entier en poudre¹, pâte de cacao¹2), farine de _blé_¹ (Origine : France), sucre de canne roux', graisse de palme¹, _lait_ écrémé en poudre¹, poudres à lever: carbonates d'ammonium, carbonates de potassium; sel, jus de citron en poudre¹.

 ¹Ingrédients issus de l'agriculture biologique 
2 Certifié Rainforest Alliance."
Tablette petit beurre au chocolat noir,150 g,22,5.918971723,0.11013799,2,1,"Chocolat noir* 48% (sucre*, pâte de cacao*, beurre de cacao*, LAIT entier en poudre*, arôme naturel de vanille*), farine de BLE* (France) 36%, sucre*, BEURRE* 8,8%, LAIT ÉCRÉMÉ en poudre*, poudres à lever : carbonates d'ammonium et de potassium, sel, poudre de jus de citron*. Traces éventuelles de fruits à coque, d'oeuf, de soja et de graines de sésame. * ingrédient issu de l'agriculture biologique."
Noir 70% Orange,100 g,17,4.363517368,0.10429359,4,1,"Pâte de cacao, sucre, beurre de cacao, cacao maigre en poudre, morceaux d'oranges confites [écorce d'orange 50%, sucre, dextrose, correcteur d'acidité (acide citrique), conservateur (dioxyde de _soufre_)), _beurre_ concentré, arôme naturel, émulsifiant (lécithines de _soja_), arôme naturel de vanille, _lait_ écrémé en poudre."
Tablette de chocolat noir,100 g,24,6.738600583,0.11010835,0,1,"Sucre, pâte de cacao, beurre de cacao, émulsifiant : lécithines (tournesol) ; arôme naturel de vanille."
N/A,100 g,26,12.741300238,0.10429359,1,2,"sugar, cocoa butter, 15% cereals (70% rice flour, sugar, corn flour, wheat malt, wheat gluten, cocoa powder, cooking salt, skim milk powder), cocoa paste, whole milk powder, skim milk powder, sweet whey powder (milk), concentrated butter (milk), emulsifier: lecithin (soja), natural vanilla flavor,  hazelnut paste, milk chocolate"
Biscuits tableau d'honneur chocolat au lait,150 g,23,5.918971723,0.11013799,1,1,"Chocolat au lait 48% (sucre, beurre de cacao, poudre de lait écrémé, pâte de cacao, lactose***, matière grasse de lait, cacao maigre en poudre, émulsifiant : lécithines (tournesol), arôme), farine de blé 33%, sucre, beurre concentré*** 6,5%, amidon de blé, poudres à lever: carbonates d'ammonium - carbonates de sodium diphosphates, poudre de lait écrémé, sel. *** dont lait. Traces éventuelles d'autres céréales contenant du gluten, œufs, arachides, soja et fruits à coque."
Dégustation noir équateur boisé,80 g,18,17.110287748,0.10429359,2,1,"cocoa paste (ecuador), cocoa butter, cane sugar, ground vanilla, cocoa: 90% minimum in chocolate,"
Biscuits tablette chocolat noir,150 g,21,6.738600583,0.11010835,1,1,"Chocolat noir* 48% (sucre*, pâte de cacao*, beurre de cacao*, lait entier en poudre*, arôme naturel de vanille) ; farine de blé* 36 % ; sucre de canne* ; huile de palme* ; poudres à lever : E336, E500, E503 ; lait écrémé en poudre* ; sel ; arôme naturel.
Traces de fruits à coque, d'œuf, de graines de sésame et de soja.
*Ingrédients issus de l'agriculture biologique."
NESTLE L'ATELIER BIO 80% 80g,80 g,16,17.110287748,0.10429359,1,1,"Pâte de cacao*, sucre*, beurre de cacao*, cacao en poudre*. *Ingrédients issus de l'agriculture biologique. Cacao : 80% minimum. Peut contenir : OEUF, GLUTEN, LAIT, FRUITS A COQUE."
Bio Biscuits tablette chocolat noir,150 g,20,6.738600583,0.11010835,1,1,"48% dark chocolate (cane sugar, cocoa paste, cocoa butter, whole milk powder, natural flavour of vanilla), wheat flour, cane sugar, fat, palm, baking powders : carbonates of ammonium, carbonates of sodium tartrates potassium, skim milk powder, salt, natural flavor,"
Chocolat noir noisettes entière,200 g,19,17.110287748,0.10429359,1,1,"Pâte de cacao, sucre, noisettes entières 25 %, matière grasse laitière anhydre, émulsifiant : lécithines (tournesol), arôme.
Traces de gluten et autres fruits à coque.
Cacao : 50 % minimum dans le chocolat."
Tablette de chocolat au lait et noisettes entières bio,100 g,23,12.741300238,0.10429359,4,1,"sucre de canne, _noisettes_ entières 22 %, beurre de cacao, poudre de _lait_ entier, pâte de cacao (Equateur, Pérou), lait écrémé en poudre, gousse de vanille. Cacao : 34% minimum."
Chocolat noir fleur de sel 70%,100 g,19,17.110287748,0.10429359,1,1,"Pâte de Cacao* (Amérique Latine), Sucre de Canne Roux* 29,9%, Beurre de Cacao*, Poudre de Cacao* (Amérique Latine), Fleur de Sel de Guérande 0,3%. Cacao : 70% Minimum"
NESTLE DESSERT Noir 2X205g,410 g,21,17.110287748,0.10429359,0,1,"Sucre, pâte de cacao (Afrique de l'Ouest, Amérique du Sud), beurre de cacao, émulsifiant (lécithine de tournesol), arôme naturel de vanille de Madagascar. Cacao : 53% minimum. Peut contenir : LAIT, FRUITS A COQUE."
NESTLE L'ATELIER - Carrés Noir Eclats cacao - 192g,192 g,18,17.110287748,0.10429359,3,2,"Pâte de cacao (Afrique de l'Ouest, Equateur), sucre, éclats de fèves de cacao caramélisées 6% (fèves de cacao Afrique de l'Ouest, sucre), beurre de cacao, BEURRE pâtissier, émulsifiant (lécithines), arôme naturel de vanille de Madagascar. Cacao : 64% minimum. Peut contenir : FRUITS A COQUE, LAIT."
Noir dégustation 85% de cacao intense,100 g,15,17.110287748,0.10429359,2,3,"cocoa paste - sugar - cocoa butter - lean cocoa powder - natural vanilla flavor, traces of nuts , gluten and milk, cocoa: 85% minimum,"
Petit-beurre Chocolat Noir,150 g,19,5.918971723,0.11013799,1,1,"Chocolat noir** (pâte de cacao**, sucre de canne**, beurre de cacao**) 48%, farine de blé T65* (France) 36%, sucre de canne roux**, beurre* (France) 8,8%, poudre de lait écrémé*, poudres à lever (carbonates d'ammonium, carbonates de sodium, acide tartrique), sel.
*Ingrédients issus de l'agriculture biologique.
**Ingrédients issus de l'agriculture biologique et du commerce équitable."
Milka oreo,25g,27,12.741300238,0.10429359,0,3,سكر، زبدة الكاكاو، مسحوق الحليب خالي الدسم، مستحلب ليستين الصوجا ،نكهات صناعية (فانيلا)
Gianduja Noir Éclats de Noisettes,,20,17.110287748,0.10429359,2,1,sucre de canne
Bahlsen - PiCK UP!,140 g,21,6.738600583,0.11010835,10,1,"Farine de BLE, sucre, graisses vegetales (palme, noix de coco), BEURRE de cacao, pate de cacao, LAIT entier en poudre (4.6%), sirop de glucose, LAIT ecreme en poudre (1.1%), LACTOSERUM en proudre, BEURRE patissier, poudre de NOISETTES, sel, emulsifiant: lecithine (soja), arome (lait), poudres a lever: carbonates de sodium, diphosphates, amidon (ble), acidifiant: acide citrique, jaune d'oeufs en poudre."
Chocolat noir 85%,100 g,15,17.110287748,0.10429359,2,1,"Pâte de cacao*¹, beurre de cacao*¹, sucre de canne*, extrait de vanille*. Cacao: 85% minimum. *Ingrédient issu de l'agriculture biologique. ¹Fèves de cacao provenant du programme TRANSPARENCE CACAO. Traces éventuelles de fruits à coque, céréales contenant gluten et lait."
Barres CHOCOLAT fourrées au lait,125 g,26,6.738600583,0.11010835,1,2,"38% chocolat au lait (sucre, beurre de cacao, pâte de cacao, lait écrémé en poudre, lactose, matière grasse laitière anhydre (lait), émulsifiant: lécithines (tournesol); arôme naturel de vanille), farine de blé, sucre, graisse de coprah, huile de tournesol, 5,8% poudre de lait entier, graisse de palme, amidon de blé, lactosérum (lait) en poudre, amidon de maïs, 0,4% lait en poudre écrémé, sel, émulsifiant : lécithines (tournesol) ; poudres à lever : carbonates d'ammonium, carbonates de sodium, diphosphates."
Noir dégustation Pérou BIO Fairtrade,100 g,15,17.110287748,0.10429359,2,2,"cocoa paste* (peruvian origin) - cocoa butter* - defatted cocoa powder* - sugar*,

traces of cereals containing gluten, nuts, milk, egg and soy,

*ingredients from organic farming and fair trade 
cocoa: 85% minimum,"
Tablette bio dégustation chocolat noir pérou 85%,100g,15,17.110287748,0.10429359,1,1,"Pâte de cacao** (origine : Pérou), beurre de cacao**, poudre de cacao dégraissée**, sucre**. **Ingrédients issus de l'agriculture biologique et du commerce équitable. (Traces éventuelles de céréales contenant gluten, œufs, lait, soja et fruits à coques.)"
Chocolat noir 85% Tanzanie,100 g,15,17.110287748,0.10429359,2,1,"cocoa paste (tanzanian origin), sugar, cocoa butter, vanilla extract, cocoa: 85% minimum, possible traces of cereals containing gluten, milk, soy, egg and nuts,"
POCKET LE PETIT BEURRE TABLETTE Chocolat au lait,250 g,25,5.918971723,0.11013799,3,3,"Chocolat au lait 48% [sucre, beurre de cacao, pâte de cacao, poudre de _lait_ écrémé, _lactose_, matière grasse de _lait_ anhydre, émulsifiant : lécithines (tournesol), arôme], farine de _blé_, sucre, _beurre_ pâtissier 6,5%, sirop de glucose-fructose, sel, poudre à lever : carbonates d'ammonium – carbonates de sodium – diphosphates, acidifiant : acide citrique.
Peut contenir des traces d'œufs et de fruits à coque."
Chocolat noir dégustation aux pépites au café,100 g,21,17.110287748,0.10429359,1,2,"Sucre ; pâte de cacao ; beurre de cacao ; pépites au Café 8% (lait en poudre écrémé, sucre, maltodextrine, café 10%, amidon modifié de pomme de terre) ; beurre concentré ; émulsifiants : lécithine de soja, lécithine de tournesol ; arôme.
Traces de gluten et de fruits à coque.
Cacao : 51% minimum dans le chocolat."
Chocolat noir et pointe de sel,100 g,21,17.110287748,0.10429359,1,1,"sugar, cocoa paste, anhydrous milk fat, cocoa butter, fleur de sel 0.5%, emulsifier: lecithins (sunflower), natural vanilla flavour, traces of nuts and gluten, cocoa: 47% minimum in dark chocolate,"
Tablette de chocolat noir bio,100 g,15,17.110287748,0.10429359,1,2,"pâte de cacao Bio (origine Pérou), beurre de cacao Bio, poudre de cacao dégraissé Bio, sucre Bio."
Petit Beurre Tablette Chocolat noir,150 g,24,6.738600583,0.11010835,1,1,"Farine de blé, sucre, pâte de cacao, 7 % beurre (lait), beurre de cacao, sirop de glucose, beurre concentré (lait), poudre à lever : carbonates d'ammonium, diphosphates, carbonates de sodium ; lait écrémé en poudre, émulsifiant : lécithine (soja), sel."
Petit beurre tablette chocolat lait bio,150 g,23,5.918971723,0.11013799,1,1,"chocolat au lait*** 48 % (sucre de canne***, beurre de cacao***, poudre de _lait_ entier***, pâte de cacao***, émulsifiant : lécithines (_soja_***)), farine de _blé_*** 35 %, sucre de canne roux***, beurre*** 9% (dont _lait_), poudres à lever : carbonates d'ammonium - carbonates de sodium, amidon de _blé_***, poudre de _lait_ écrémé***, sel de Guérande, acidifiant : acide citrique.
*** Issus de l'agriculture biologique."
tablette de Chocolat à patisser,200 g,21,17.110287748,0.10429359,3,1,"cocoa paste, sugar, cocoa butter, emulsifier: sunflower lecithins, aroma, cocoa: 52% minimum traces of nuts, cereals containing gluten and milk,"
